"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"55",719.581492720145,"[M+Na]+","22:6 Cholesterol ester","CE 22:6",719.574299,696.58453
"56",751.629481594609,"[M+Na]+","24:4 Cholesterol","CE 24:4",751.636899,728.64713
"57",749.627545638648,"[M+Na]+","24:5 Cholesterol","CE 24:5",749.621249,726.63148
"58",806.645616475402,"[M+Na]+","
GlcCer(d18:1/22:0)","Hex1Cer(d18:1/22:0)",806.648588,783.658819
"59",832.663682019551,"[M+Na]+","GlcCer(d18:2/24:0)","Hex1Cer(d18:2/24:0)",832.664238,809.674469
"60",806.645616475402,"[M+Na]+","LacCer(d18:1/22:0)","Hex2Cer(d18:1/22:0)",806.648588,783.658819
"61",490.288362294261,"[M+Na]+","
PC(0:0/14:0)","LPC 14:0",490.290961,467.301192
"62",544.3342485655,"[M+Na]+","PC(0:0/18:1(6Z))","LPC 18:1",544.337911,521.348142
"63",590.320577082847,"[M+Na]+","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","LPC 22:6",590.322261,567.332492
"64",504.347137110679,"[M+Na]+","PC(O-16:0/0:0)","LPC(O-16:0)",504.342996,481.353227
"65",532.379446630052,"[M+Na]+","
PC(O-18:0/0:0)","LPC(O-18:0)",532.374296,509.384527
"66",502.328674171934,"[M+Na]+","PC(P-16:0/0:0)","LPC(P-16:0)",502.327346,479.337577
"67",476.27080856454,"[M+Na]+","
PE(16:0/0:0)","LPE 16:0",476.275311,453.285542
"68",490.288362294261,"[M+Na]+","PE(17:0/0:0)","LPE 17:0",490.290961,467.301192
"69",504.304813970291,"[M+Na]+","PE(0:0/18:0)","LPE 18:0",504.306611,481.316842
"70",486.295588093046,"[M+Na]+","PE(P-18:1)","LPE(P-18:1)",486.296046,463.306277
"71",700.495088968216,"[M+Na]+","PC(10:0/18:0)","PC 28:0",700.489326,677.499557
"72",728.523051730915,"[M+Na]+","
PC(10:0/20:0)","PC 30:0",728.520626,705.530857
"73",796.587413722238,"[M+Na]+","
PC(13:0/22:1(11Z))","PC 35:1(a\b)",796.583226,773.593457
"74",790.53128316229,"[M+Na]+","
PC(13:0/22:4(7Z,10Z,13Z,16Z))","PC 35:4",790.536276,767.546507
